transaction_id,qty,amount,store_code,createddatetime,modifieddatetime
TXN10023,1,96.34,ST-PER04,2026-01-26 15:46:17,2026-01-26 15:46:17
TXN10024,4,166.75,ST-ADL05,2026-03-02 12:56:06,2026-03-02 13:40:00
TXN10025,2,21.56,ST-HBA06,2026-02-25 04:36:19,2026-02-25 04:36:19
TXN10026,3,121.73,ST-MEL01,2026-01-18 19:20:41,2026-01-18 19:20:41
TXN10027,1,89.54,ST-BNE03,2026-05-09 21:05:40,2026-05-09 22:00:15
TXN10028,5,263.85,ST-SYD02,2026-03-22 09:44:59,2026-03-22 09:44:59
TXN10029,2,86.64,ST-PER04,2026-04-11 14:15:33,2026-04-11 14:15:33
TXN10030,4,228.40,ST-ADL05,2026-02-05 02:44:56,2026-02-05 03:30:12
TXN10031,1,30.34,ST-HBA06,2026-03-05 05:27:11,2026-03-05 05:27:11
TXN10032,3,141.62,ST-MEL01,2026-05-07 16:51:39,2026-05-07 16:51:39
TXN10033,1,72.43,ST-SYD02,2026-01-30 08:08:44,2026-01-30 09:15:00
TXN10034,2,30.29,ST-BNE03,2026-04-28 17:41:26,2026-04-28 17:41:26
TXN10035,5,190.52,ST-PER04,2026-02-12 11:32:57,2026-02-12 12:10:45
TXN10036,4,103.35,ST-ADL05,2026-03-12 04:38:22,2026-03-12 04:38:22
TXN10037,1,92.51,ST-HBA06,2026-05-15 13:42:07,2026-05-15 13:42:07
TXN10038,3,81.42,ST-MEL01,2026-01-14 20:39:10,2026-01-14 21:25:30
TXN10039,2,99.98,ST-BNE03,2026-03-31 06:17:54,2026-03-31 06:17:54
TXN10040,1,15.71,ST-SYD02,2026-04-18 22:52:19,2026-04-18 22:52:19
TXN10041,5,183.18,ST-PER04,2026-02-02 01:21:40,2026-02-02 02:00:00
TXN10042,4,374.90,ST-ADL05,2026-05-03 14:52:32,2026-05-03 14:52:32
TXN10043,2,63.13,ST-HBA06,2026-01-25 18:03:54,2026-01-25 18:40:15
TXN10044,3,101.40,ST-MEL01,2026-03-18 06:33:51,2026-03-18 06:33:51
TXN10045,1,123.63,ST-SYD02,2026-04-26 12:47:19,2026-04-26 12:47:19
TXN10046,5,349.52,ST-BNE03,2026-02-21 16:55:04,2026-02-21 17:35:00
TXN10047,2,80.72,ST-PER04,2026-01-04 09:37:37,2026-01-04 09:37:37
TXN10048,4,136.56,ST-ADL05,2026-05-13 10:14:43,2026-05-13 11:00:20
TXN10049,1,58.82,ST-HBA06,2026-03-27 21:55:41,2026-03-27 21:55:41
TXN10050,3,40.16,ST-MEL01,2026-02-23 00:36:28,2026-02-23 00:36:28
TXN10051,2,71.55,ST-BNE03,2026-01-12 11:43:09,2026-01-12 12:15:30
TXN10052,5,152.02,ST-SYD02,2026-05-19 14:02:40,2026-05-19 14:02:40
TXN10053,1,85.12,ST-PER04,2026-03-11 18:35:48,2026-03-11 19:22:11
TXN10054,4,213.91,ST-ADL05,2026-04-06 15:47:04,2026-04-06 15:47:04
TXN10055,2,42.48,ST-HBA06,2026-02-08 07:12:19,2026-02-08 07:12:19
TXN10056,3,103.04,ST-MEL01,2026-05-04 22:50:51,2026-05-04 23:45:00
TXN10057,1,18.99,ST-SYD02,2026-01-16 03:31:42,2026-01-16 03:31:42
TXN10058,5,258.11,ST-BNE03,2026-03-01 19:12:47,2026-03-01 19:12:47
TXN10059,2,83.95,ST-PER04,2026-04-23 05:25:31,2026-04-23 06:10:45
TXN10060,4,198.81,ST-ADL05,2026-01-22 13:42:07,2026-01-22 13:42:07
TXN10061,1,33.15,ST-HBA06,2026-05-23 08:08:44,2026-05-23 08:50:12
TXN10062,3,293.43,ST-MEL01,2026-02-28 17:51:39,2026-02-28 17:51:39
TXN10063,2,61.42,ST-BNE03,2026-04-17 11:24:28,2026-04-17 12:11:30
TXN10064,5,487.62,ST-SYD02,2026-03-06 20:31:40,2026-03-06 20:31:40
TXN10065,1,12.75,ST-PER04,2026-01-01 10:14:43,2026-01-01 10:14:43
TXN10066,4,142.16,ST-ADL05,2026-05-01 02:44:03,2026-05-01 03:25:00
TXN10067,2,99.55,ST-HBA06,2026-03-20 12:47:58,2026-03-20 12:47:58
TXN10068,3,56.12,ST-MEL01,2026-02-14 16:47:35,2026-02-14 16:47:35
TXN10069,1,88.40,ST-SYD02,2026-04-15 04:36:19,2026-04-15 05:22:14
TXN10070,5,310.23,ST-BNE03,2026-01-10 18:22:47,2026-01-10 18:22:47
TXN10071,2,76.54,ST-PER04,2026-05-10 09:27:14,2026-05-10 09:27:14
TXN10072,4,220.19,ST-ADL05,2026-03-25 15:46:17,2026-03-25 16:30:00
TXN10073,1,65.34,ST-HBA06,2026-02-09 21:05:40,2026-02-09 21:05:40
TXN10074,3,178.60,ST-MEL01,2026-04-05 14:14:48,2026-04-05 14:14:48
TXN10075,2,43.21,ST-SYD02,2026-01-29 03:07:37,2026-01-29 04:01:25
TXN10076,5,201.55,ST-BNE03,2026-03-14 23:43:08,2026-03-14 23:43:08
TXN10077,1,19.95,ST-PER04,2026-05-17 19:42:47,2026-05-17 19:42:47
TXN10078,4,188.75,ST-ADL05,2026-02-26 13:41:09,2026-02-26 14:15:30
TXN10079,2,31.40,ST-HBA06,2026-04-22 08:31:09,2026-04-22 08:31:09
TXN10080,3,115.50,ST-MEL01,2026-01-05 05:27:11,2026-01-05 05:27:11
TXN10081,1,54.12,ST-BNE03,2026-03-23 11:43:09,2026-03-23 12:30:00
TXN10082,5,165.75,ST-SYD02,2026-05-05 15:47:04,2026-05-05 15:47:04
TXY10083,2,88.20,ST-PER04,2026-02-18 20:17:41,2026-02-18 20:17:41
TXN10084,4,312.44,ST-ADL05,2026-04-12 11:32:57,2026-04-12 12:12:14
TXN10085,1,22.50,ST-HBA06,2026-01-21 00:36:28,2026-01-21 00:36:28
TXN10086,3,149.99,ST-MEL01,2026-03-04 19:20:41,2026-03-04 19:20:41
TXN10087,2,39.50,ST-SYD02,2026-05-22 06:17:54,2026-05-22 07:05:00
TXN10088,5,420.15,ST-BNE03,2026-02-04 09:37:37,2026-02-04 09:37:37
TXN10089,1,74.35,ST-PER04,2026-04-27 16:51:39,2026-04-27 16:51:39
TXN10090,4,245.60,ST-ADL05,2026-01-15 13:42:07,2026-01-15 14:30:11
TXN10091,2,51.25,ST-HBA06,2026-03-10 18:35:48,2026-03-10 18:35:48
TXN10092,3,125.80,ST-MEL01,2026-05-12 21:55:41,2026-05-12 21:55:41
TXN10093,1,16.99,ST-BNE03,2026-01-27 02:26:07,2026-01-27 03:15:22
TXN10094,5,289.50,ST-SYD02,2026-04-02 01:21:40,2026-04-02 01:21:40
TXN10095,2,93.40,ST-PER04,2026-02-22 12:47:19,2026-02-22 13:20:00
TXN10096,4,180.75,ST-ADL05,2026-05-08 07:12:19,2026-05-08 07:12:19
TXN10097,1,45.00,ST-HBA06,2026-03-19 06:33:51,2026-03-19 06:33:51
TXN10098,3,210.45,ST-MEL01,2026-01-11 14:02:40,2026-01-11 15:00:35
TXN10099,2,55.60,ST-SYD02,2026-04-20 22:50:51,2026-04-20 22:50:51
TXN10100,5,375.25,ST-BNE03,2026-02-07 16:41:40,2026-02-07 17:15:45
